Comarca,Municipi,Codi municipi,Refugi climàtic,Latitud,Longitud,Tipologia,Nom,Adreça,Telèfon,Correu,Horari,Gratuïtat,Accessibilitat,Aigua,Lavabo,Mobiliari per seure,Capacitat,Georeferència
Baix Ebre,Roquetes,431331,Sí,40.82304103,0.50108599,Altres,Plaça Raval Nova,Pl. Raval Nova,NA,NA,Infedinit,Sí,Sí,Sí,No,Sí,,POINT (0.50108599 40.82304103)
Alt Camp,Valls,431613,Sí,41.28675851,1.2527454,Parc densament arbrat,Plaça del Quarter,Pl. del Quarter,NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (1.2527454 41.28675851)
Gironès,Girona,170792,Sí,41.98498253,2.82300466,Altres,Abacus Cooperativa,"Rda. Sant Antoni Maria Claret, 39-41, 17002 Girona",972965030,gironacentre@abacus.coop,dl. a dv. 09:30 - 21:00 | ds. 10:00 - 21:00,Sí,Sí,No,Sí,Sí,6,POINT (2.82300466 41.98498253)
Segrià,Rosselló,251898,Sí,41.69609024,0.59594716,Biblioteca,Biblioteca de Rosselló,"Av. Catalunya, 2",973730001,biblioteca@rossello.cat,dl. a dv. 17:00 - 21:00,Sí,Sí,Sí,Sí,Sí,25,POINT (0.59594716 41.69609024)
Barcelonès,Barcelona,080193,Sí,41.44590735,2.18557896,Centre educatiu,Escola Mercè Rodoreda,"C. del Vesuvi, 35",NA,a8039471@xtec.cat,Juliol: dl. a dv. 17:30 - 20:30 | ds. 11:00 - 14:00 | dg. 11:00 - 14:00 || Agost: dl. a dv. 17:30 - 20:30 | ds. 17:30 - 20:30 | dg. 17:30 - 20:30 || Setembre: Tancat,Sí,NA,Sí,NA,NA,,POINT (2.18557896 41.44590735)
Maresme,Canet de Mar,080403,Sí,41.58750669,2.58477282,Altres,Zones d'ombra passeig marítim,"Pg. Marítim de Canet de Mar, s/n",NA,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,20,POINT (2.58477282 41.58750669)
Baix Camp,Reus,431233,Sí,41.15055967,1.11862606,Equipament cívic,Centre cívic Mas Abelló,"C. Mas del Carpa, 4, 43204 Reus, Tarragona",977010030,cc.masabello@reus.cat,dl. a dv. 08:00 - 22:00,Sí,Sí,Sí,Sí,Sí,,POINT (1.11862606 41.15055967)
Maresme,Mataró,081213,Sí,41.53365018,2.44498965,Equipament cívic,Centre cívic Cabot i Barba,"Pl. Miquel Biada, 5",937022800,NA,09:00 - 15:00,Sí,Sí,No,Sí,Sí,,POINT (2.44498965 41.53365018)
Gironès,Salt,17190,Sí,41.9759048,2.7885998,Equipament cívic,Casal Cívic i Comunitari Salt - les Bernardes,"Pl. de la Diputació, 2",972232663,cc.salt@gencat.cat,dl. a dv. 09:00 - 21:00 | ds. 10:00 - 21:00,Sí,Sí,Sí,Sí,Sí,180,POINT (2.7885998 41.9759048)
Vallès Occidental,Sabadell,081878,Sí,41.54961554,2.12888061,Biblioteca,Biblioteca de la Serra,"Pl. de Cristóbal Ramos, 1",937263468,NA,09:00 - 14:00,Sí,Sí,No,No,Sí,,POINT (2.12888061 41.54961554)
Barcelonès,Barcelona,080193,Sí,41.40850157,2.21338281,Parc densament arbrat,Parc de Diagonal Mar,"C. de Llull, 356 - 360",NA,NA,dl. a dv. 10:00 - 22:30 | ds. 10:00 - 22:30 | dg. 10:00 - 22:30,Sí,Sí,Sí,No,NA,,POINT (2.21338281 41.40850157)
Garrotxa,Olot,171143,Sí,42.18135414,2.48950113,Espai cultural,Claustre de l'Hospici,"C. de l'Hospici, 8",NA,NA,Fins al 15/08: dl. 08:00 - 15:00 | dl. a dv. 08:00 - 20:00 | ds. i dg. 11:00 - 14:00 i 17:00 - 20:00 || Fins al 01/09: dl. 08:00 - 15:00 | dt. a dv. 08:00 - 18:00 | ds. i dg. 11:00 - 14:00,Sí,Sí,Sí,Sí,Sí,,POINT (2.48950113 42.18135414)
Barcelonès,Barcelona,080193,Sí,41.451447,2.1931049,Piscina,Piscines del Centre Esportiu Municipal Trinitat Vella,"Via Bàrcino, 84-86",933113701,NA,Juliol i Agost: dl. a dv. 10:00 - 19:30 | ds. 10:00 - 19:30 | dg. 10:00 - 19:30 || Setembre: Indefinit,No,Sí,NA,NA,NA,,POINT (2.1931049 41.451447)
Vallès Occidental,Sant Quirze del Vallès,082384,Sí,41.53373289,2.07998521,Equipament cívic,Casal d'avis,"C. Pintor Vila Puig, 22",937216800,oac@santquiurzevalles.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,50,POINT (2.07998521 41.53373289)
Vallès Occidental,Matadepera,081206,Sí,41.59741942,2.02643738,Equipament cívic,Casal de la Gent Gran,"Ctra Terrassa, 35",NA,NA,08:00 - 19:00,Sí,Sí,Sí,Sí,Sí,,POINT (2.02643738 41.59741942)
Barcelonès,"Hospitalet de Llobregat, l'",08907,Sí,41.3511437,2.1084879,Equipament cívic,Casal Cívic i Comunitari l'Hospitalet de Llobregat  - Bellvitge,"Av. d'Amèrica, 61-67",932630160,cc.hospitaletbellvitge@gencat.cat,dl. a dv. 09:00 - 21:00 | ds. 10:00 - 21:00,Sí,Sí,Sí,Sí,Sí,150,POINT (2.1084879 41.3511437)
Baix Empordà,"Tallada d'Empordà, la",171959,Sí,42.08287526,3.05850142,Sala polivalent,Local social Empordanet,"C. Figueres, s/n",NA,NA,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (3.05850142 42.08287526)
Barcelonès,Barcelona,080193,Sí,41.42353944,2.18775719,Altres,Parròquia del Crist Rei,"C. Martí Molins, 45",NA,NA,dl. a dv. 10:00 - 13:00 i 18:00 - 20:30 | ds. 10:00 - 13:00 i 18:00 - 20:30 | dg. 10:00 - 13:00,Sí,Sí,No,No,Sí,,POINT (2.18775719 41.42353944)
Cerdanya,Guils de Cerdanya,170828,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Barcelonès,Barcelona,080193,Sí,41.42669639,2.17685337,Poliesportiu,CEM Cotxeres Borbó,"Pl. de Carmen Laforet, 7",NA,rac@cotxeresborbo.duinclub.com,NA | ds. 08:00 - 20:00 | dg. 09:00 - 14:00,Sí,Sí,Sí,Sí,Sí,,POINT (2.17685337 41.42669639)
Barcelonès,Barcelona,080193,Sí,41.38742762,2.18169453,Equipament cívic,Centre cívic Convent Sant Agustí,"C. del Comerç, 36",NA,informacio@conventagusti.com,Juliol i Setembre: dl. a dv. 09:00 - 22:00 | ds. 10:00 - 14:00 i 16:00 - 21:00 || Agost: Tancat,Sí,Sí,No,Sí,Sí,,POINT (2.18169453 41.38742762)
Osona,Sora,082726,No,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Urgell,Tàrrega,252173,Sí,41.64522881,1.13855316,Biblioteca,Biblioteca pública Germanes Güell,"Pl. Sant Antoni, 3",973500428,enovell@tarrega.cat,09:00 - 14:00 i 16:00 - 20:00,Sí,Sí,Sí,Sí,Sí,0,POINT (1.13855316 41.64522881)
Vallès Oriental,Canovelles,8420,Sí,41.6167578,2.274642,Equipament cívic,Casal Cívic i Comunitari Canovelles - veïnat Pau Casals,"Pl. de Pau Casals, s/n",938463928,cc.canovellesveinatpaucasals@gencat.cat,dl. a dv. 09:00 - 22:00:00,Sí,Sí,Sí,Sí,Sí,14,POINT (2.274642 41.6167578)
Alt Empordà,Palau-saverdera,171208,Sí,42.3084179,3.14871642,Equipament cívic,Centre cívic,"C. Tramuntana, 1",972530903,ajuntament@palau-saverdera.cat,Indefinit,Sí,Sí,No,Sí,Sí,100,POINT (3.14871642 42.3084179)
Maresme,"Masnou, el",081189,Sí,41.47807183,2.30445872,Altres,Casa del Marquès,"Pg. del Bellresguard, 12",NA,NA,dl. a dj. 08:00 -  20:00 | dv. 08:00 - 15:30,Sí,Sí,Sí,Sí,Sí,,POINT (2.30445872 41.47807183)
Baix Ebre,Camarles,439039,Sí,40.77431618,0.66944925,Piscina,Pisicina municipal Camarles,Camí de la Gravera,977470007,ajuntament@camarles.cat,09:00 - 20:00,Sí,Sí,Sí,Sí,Sí,,POINT (0.66944925 40.77431618)
Baix Llobregat,"Prat de Llobregat, el",081691,Sí,41.32818899,2.09064599,Parc densament arbrat,Parc Fondo d'en Peixo,Parc Fondo d'en Peixo,NA,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.09064599 41.32818899)
Barcelonès,Barcelona,080193,Sí,41.40595538,2.13599293,Biblioteca,Biblioteca Sant Gervasi - Joan Maragall,"Sant Gervasi de Cassoles, 85",NA,b.barcelona.jmg@diba.cat,"dl., dc. i dv. 09:30 - 13:30 i 15:30 - 20:30 | dt. i dj. 09:30 - 20:30 | Sala d'estudi: dl. a dj. 20:30 - 00:00 | ds. 10:00 - 14:00",Sí,Sí,No,Sí,Sí,,POINT (2.13599293 41.40595538)
Baix Ebre,"Aldea, l'",439044,Sí,40.74448844,0.62138851,Piscina,Piscines municipals de L'Aldea,"Av. Francesc Robert Graupera, s/n",NA,NA,17:00 - 20:00,No,Sí,No,Sí,Sí,100,POINT (0.62138851 40.74448844)
Baix Camp,Vandellòs i l'Hospitalet de l'Infant,431628,Sí,41.01841344,0.83184656,Piscina,Piscina Vandellòs,C. de les Flors,977824037,info@vandellos-hospitalet.cat,12:00 - 20:00,Sí,Sí,Sí,Sí,Sí,500,POINT (0.83184656 41.01841344)
Garrotxa,Olot,171143,Sí,42.18297924,2.4702314,Parc densament arbrat,Parc del Xiprer,"Rda. del xiprer, 1",NA,NA,Indefinit,Sí,No,Sí,No,Sí,,POINT (2.4702314 42.18297924)
Barcelonès,Barcelona,080193,Sí,41.40854187,2.19170324,Equipament cívic,Casal de gent gran Parc del Clot,"Pl. Joan Casanelles, 1",NA,casalgg.parcdelclot@bcn.cat,Juliol i Setembre: dl. a dv. 09:30 - 13:30 i 16:00 - 20:00 || Agost: Tancat,Sí,Sí,No,Sí,Sí,,POINT (2.19170324 41.40854187)
Baix Llobregat,Vallirana,082956,Sí,41.38811122,1.93203515,Altres,Ajuntament de Vallirana,"C. Major 329, Vallirana, Barcelona",936830810,NA,dl. a dv. 08:30 - 14:30,Sí,Sí,Sí,Sí,Sí,5,POINT (1.93203515 41.38811122)
Segrià,Lleida,251207,Sí,41.62003237,0.62842066,Biblioteca,Biblioteca-Fonoteca de l'Auditori,"Pl.  Josep Prenafeta, s/n",973700639,NA,dl. a dj. 10:00 - 13:30 || Agost tancat,Sí,Sí,No,Sí,Sí,40,POINT (0.62842066 41.62003237)
Bages,Sant Feliu Sasserra,082129,Sí,41.94430608,2.0154441,Piscina,Piscines municipals Sant Feliu Sasserra,Zona esportiva Sant Roc,938819011,st.felius@diba.cat,10:30 - 19:30,No,Sí,Sí,Sí,Sí,,POINT (2.0154441 41.94430608)
Vallès Occidental,Castellar del Vallès,080517,Sí,41.6163319,2.08767706,Altres,Mercat municipal,"Pl. mercat, s/n",937474225,mercat@castellarvalles.cat,09:00 - 21:00,Sí,Sí,No,Sí,Sí,40,POINT (2.08767706 41.6163319)
Baix Camp,Reus,431233,Sí,41.15403914,1.10014809,Biblioteca,Biblioteca Central Xavier Amorós,"C. de l'Escorxador, 1, 43202 Reus, Tarragona",977010025,info.biblioteques@reus.cat,dl. a dj. 10:00 - 14:00 i 17:00 - 20:00 | dv. 10:00 - 14:00,Sí,Sí,Sí,Sí,Sí,,POINT (1.10014809 41.15403914)
Noguera,Balaguer,250404,Sí,41.79399795,0.80909597,Espai cultural,Claustre Convent Sant Domènec,"C. d'Urgell, 1",973445194,NA,dl. a ds. 10:00 - 19:00 | dg. 10:00 - 13:00,Sí,Sí,No,No,Sí,,POINT (0.80909597 41.79399795)
Vallès Oriental,Cardedeu,080462,Sí,41.6371375,2.35544466,Equipament cívic,Casal de la gent gran,"Av. Rei en Jaume, 55",938461007,NA,dl. a dv. 09:30 - 13:30 || Tancat de l’11 al 27 d’agost,Sí,Sí,No,Sí,Sí,60,POINT (2.35544466 41.6371375)
Barcelonès,Barcelona,080193,Sí,41.38782488,2.1544001,Altres,Mercat de Ninot,"C. Mallorca, 133",NA,NA,Juliol i Setembre: dl. a dv. 08:00 - 21:00 | ds. 08:00 - 21:00 || Agost: Tancat,Sí,Sí,Sí,Sí,Sí,,POINT (2.1544001 41.38782488)
Barcelonès,Santa Coloma de Gramenet,082457,Sí,41.44413551,2.21025517,Biblioteca,Biblioteca de Can Peixauet,"Av. de la Generalitat, 98, 08923 Santa Coloma de Gramenet, Barcelona",934665270,b.sta.colomag.cp@diba.cat,10:00 - 20:30,Sí,Sí,Sí,Sí,Sí,100,POINT (2.21025517 41.44413551)
Osona,Vic,082981,Sí,41.92022549,2.25821225,Parc densament arbrat,Parc Santa Anna,Parc Santa Anna,938862100,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.25821225 41.92022549)
Garrotxa,Besalú,170195,Sí,42.19941772,2.69888205,Biblioteca,Biblioteca Ramon Vidal - Can Cambó,"C. Major, 13",972591004,ajuntament@ajbesalu.cat,Indefinit,Sí,Sí,No,Sí,Sí,,POINT (2.69888205 42.19941772)
Alt Penedès,Mediona,081228,Sí,41.47674843,1.61136295,Equipament cívic,Casal d'avis Casa Nostra,"C. Dr. Trueta, 10",NA,NA,10:00 - 14:00 i 16:00 - 20:00,Sí,Sí,Sí,Sí,Sí,40,POINT (1.61136295 41.47674843)
Osona,Vic,082981,Sí,41.92318675,2.25558545,Altres,Plaça Francesc Moragas,Pl. Francesc Moragas,938862100,NA,Indefinit,Sí,Sí,Sí,No,Sí,,POINT (2.25558545 41.92318675)
Berguedà,"Espunyola, l'",080787,Sí,42.0541426,1.76793475,Sala polivalent,Local entitats,"Ctra. de Solsona C26, Km 136",938231055,espunyola@diba.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,25,POINT (1.76793475 42.0541426)
Barcelonès,Barcelona,080193,Sí,41.4516064,2.19117845,Equipament cívic,Centre cívic Trinitat Vella,"C. Foradada, 36",NA,cctrinitatvella@bcn.cat,Juliol: dl. a dv. 08:00 - 21:00 | ds. 10:00 - 14:00 i 16:00 - 19:00 || Agost: Tancat || Setembre: dl. a dv. 08:00 - 21:00 | ds. 10:00 - 14:00,Sí,Sí,Sí,Sí,Sí,,POINT (2.19117845 41.4516064)
Baix Llobregat,Olesa de Montserrat,081477,Sí,41.54973906,1.88368974,Equipament cívic,CCC Olesa de Montserrat,"Ctra. de la Puda, 08640 Olesa de Montserrat, Barcelona",NA,NA,dl. a dv. 15:00 - 21:00 ||  Del 22 al 31 de juliol (puntual): 09:00 - 15:00 || Agost tancat,Sí,Sí,Sí,Sí,Sí,,POINT (1.88368974 41.54973906)
Barcelonès,"Hospitalet de Llobregat, l'",081017,Sí,41.36723024,2.11600486,Espai cultural,Centre d'Art Metropolità Tecla Sala,"Av. Josep Tarradellas, 44",934032630,teclasala@l-h.cat,11:00 - 14:00 i 17:00 - 20:00,Sí,Sí,Sí,Sí,Sí,,POINT (2.11600486 41.36723024)
Vallès Occidental,Santa Perpètua de Mogoda,082606,Sí,41.52877781,2.18001935,Equipament cívic,Centre cívic - Can Taiò,"Parc de Catalunya, s/n, 08130 Santa Perpètua de Mogoda",935443716,taio@staperpetua.cat,dl. a dv. 15:00 - 22:00 || Juliol: dl. a dj. 15:00 - 22:00 || Agost tancat,Sí,Sí,Sí,Sí,Sí,,POINT (2.18001935 41.52877781)
Barcelonès,Barcelona,080193,Sí,41.41553088,2.17067228,Parc densament arbrat,Jardins del Dr.Pla i Armengol,"Av. Mare de Déu de Montserrat, 132",NA,NA,dl. a dv. 10:00 - 22:30 | ds. 10:00 - 22:30 | dg. 10:00 - 22:30,Sí,Sí,NA,No,NA,,POINT (2.17067228 41.41553088)
Baix Llobregat,"Prat de Llobregat, el",081691,Sí,41.33025012,2.09022441,Altres,Centre Esportiu Fondo d'en Peixo,"C. Doctor Soler i Torrens, 47",934782767,cemfpeixo@elprat.cat,dl. a dv. 07:15 - 22:30 | ds. 08:00- 20:00 | dg. 08:00 - 14:00 || Agost tancat,Sí,Sí,No,No,Sí,,POINT (2.09022441 41.33025012)
Baix Llobregat,"Prat de Llobregat, el",081691,Sí,41.33007744,2.10378073,Altres,Centre Desenvolupament Econòmic,"C. de les Moreres, 48",934786878,NA,dl. a dv. 07:15 - 21:00 || Agost: dl. a dv. 07:15 - 15:00,Sí,Sí,Sí,Sí,Sí,,POINT (2.10378073 41.33007744)
Barcelonès,Barcelona,080193,Sí,41.37692842,2.13475202,Biblioteca,Biblioteca Vapor Vell,"Ptge. Vapor Vell, s/n",NA,b.barcelona.vv@diba.cat,"dl., dc. i dj. 09:30 - 13:30 i 15:30 - 20:30 | dt. i dv. 09:30 - 20:30 | Sala d'estudi: dl. a dj. 20:30 - 00:00 | ds. 10:00 - 14:00 | Sala d'estudi: 16:00 - 20:00 | dg. Sala d'estudi: 10:00 - 14:00",Sí,Sí,No,Sí,Sí,,POINT (2.13475202 41.37692842)
Pla de l'Estany,Banyoles,170157,Sí,42.12375512,2.76306577,Biblioteca,Biblioteca de Banyoles,"C. Llibertat, 155",972571602,NA,"dl. 16:00 - 20:00 | dt., dc. i dj. 10:30 - 14:00 i 16:00 - 20:00 | dv. 10:30 - 14:00 || Vacances del 12 al 16 d'agost",Sí,Sí,No,Sí,Sí,,POINT (2.76306577 42.12375512)
Maresme,Premià de Dalt,082303,Sí,41.50565304,2.34562338,Altres,Sala de plens ajuntament de Premia de Dalt,"Pl. de la fàbrica, 1",936931515,prmd.oac@premiadedalt.cat,dl. a dv. 08:30 - 13:15,Sí,Sí,Sí,Sí,Sí,,POINT (2.34562338 41.50565304)
Baix Camp,Vandellòs i l'Hospitalet de l'Infant,431628,Sí,41.01934912,0.8578454,Piscina,Piscina Masboquera,C. de Baix,977820523,info@vandellos-hospitalet.cat,12:00 - 20:00,Sí,Sí,Sí,Sí,Sí,50,POINT (0.8578454 41.01934912)
Barcelonès,Barcelona,080193,Sí,41.36600595,2.15108599,Poliesportiu,CEM Piscines Picornell,"Av. de l'Estadi, 30",NA,info@picornell.cat,dl. a dv. 06:45 - 00:00 | ds. 07:00 - 21:00 | dg. 07:30 - 19:00,Sí,Sí,Sí,Sí,NA,,POINT (2.15108599 41.36600595)
Vallès Occidental,Sant Llorenç Savall,082233,Sí,41.68019658,2.05861125,Altres,Casal de la gent gran,"C. Canigó, 17",937140531,NA,16:00 - 20:30,Sí,Sí,Sí,Sí,Sí,70,POINT (2.05861125 41.68019658)
Alt Penedès,Vilafranca del Penedès,083054,Sí,41.35518846,1.70352026,Equipament cívic,Espai jove La Nau,"C. Baltà de Cela, 45",636935466,lanau@vilafranca.org,10:00 - 15:30 i 17:00 - 22:00,Sí,Sí,Sí,Sí,Sí,,POINT (1.70352026 41.35518846)
Tarragonès,Tarragona,431482,Sí,41.12070837,1.19370145,Equipament cívic,Centre cívic Bonavista,"C. Onze, 13, Bonavista, 43100 Tarragona",977550231,ajuntament@tarragona.cat,08:00 - 15:00,Sí,Sí,Sí,Sí,Sí,10,POINT (1.19370145 41.12070837)
Gironès,Canet d'Adri,170405,Sí,42.03321122,2.73418311,Poliesportiu,Pavelló municipal,Ctra. Vella,972428280,ajuntament@canet-adri.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,,POINT (2.73418311 42.03321122)
Barcelonès,Barcelona,080193,Sí,41.43278971,2.1607239,Equipament cívic,Centre cívic Matas i Ramis,"Feliu i Codina, 20",NA,ccmatasiramis@bcn.cat,Juliol i Setembre: dl. a dv. 08:30 - 22:00 || Agost: Tancat,Sí,Sí,Sí,Sí,Sí,,POINT (2.1607239 41.43278971)
Baix Llobregat,Begues,080207,Sí,41.33106509,1.91861128,Sala polivalent,L'Escorxador,"Av. Sitges, 12, 08859 Begues",936392082,begues@begues.cat,Agost: dl. a dv. 16:00 - 20:00,Sí,Sí,No,Sí,Sí,100,POINT (1.91861128 41.33106509)
Barcelonès,Barcelona,080193,Sí,41.45133632,2.17629509,Espai cultural,Castell de Torre Baró,"Ctra. Alta de les Roquetes, 309",NA,castell_torrebaro@bcn.cat,Juliol i Setembre: dt. a dj. 10:00 - 13:00 | dv. 10:00 - 13:00 i 17:00 - 20:00 | ds. 10:00 - 20:00 | dg. 10:00 - 14:00 || Agost: dt. a dj. 10:00 - 13:00 | dv. 10:00 - 13:00 i 17:00 - 20:00 | ds. 10:00 - 20:00 | dg. 10:00 - 14:00 | Tancat la segona i tercera setmana,Sí,Sí,No,Sí,Sí,,POINT (2.17629509 41.45133632)
Gironès,Bescanó,170209,Sí,41.96238668,2.7380545,Altres,Casal d'avis,"Pg. de la Torre, s/n",972440779,NA,13:00 - 20:00 i 10:00 - 13:00,Sí,Sí,Sí,Sí,Sí,,POINT (2.7380545 41.96238668)
Gironès,Girona,170792,Sí,41.97116915,2.81013778,Centre educatiu,Escola Àgora,"Pg. Ramon Berenguer II, 4 17005 Girona",972239942,b7001838@gmail.com,dl. a dv. 18:00 - 21:00,Sí,Sí,No,No,Sí,10,POINT (2.81013778 41.97116915)
Gironès,Girona,170792,Sí,41.97536399,2.81071131,Altres,Església parroquial de Sant Narcís,"Pl. Assumpció, 18",972231201,parroquiasantnarcis@gmail.com,08:30 - 10:30,Sí,Sí,Sí,Sí,Sí,50,POINT (2.81071131 41.97536399)
Vallès Occidental,Terrassa,082798,Sí,41.56376555,2.02151345,Biblioteca,Biblioteca Campus UPC,"Pl. del Campus, 1",937398062,NA,Juliol: 08:30 - 14:00 || Agost tancat || Setembre: 08:30 - 20:30,Sí,Sí,No,Sí,Sí,,POINT (2.02151345 41.56376555)
Barcelonès,Barcelona,080193,Sí,41.38552854,2.18641325,Piscina,Piscines del Centre Esportiu Municipal Parc de la Ciutadella,"Pg. de Circumval·lació, 1",NA,info-ciutadella@okeymas.es,dl. a dv. 07:00 - 22:30 | ds. 08:00 - 20:00 | dg. 08:00 - 14:00,No,Sí,NA,NA,NA,,POINT (2.18641325 41.38552854)
Baix Empordà,Regencós,171447,Sí,41.95297079,3.17129221,Sala polivalent,Antigues escoles de Regencós,"C. Torres Jonama, 3",972611369,ajuntament@regencos.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,25,POINT (3.17129221 41.95297079)
Bages,Manresa,081136,Sí,41.72740779,1.81923091,Equipament cívic,Centre cívic Selves i Carner,"C. Bernat i Oller, 14-16",938727477,selves@ajmanresa.cat,Indefinit,Sí,Sí,Sí,Sí,Sí,25,POINT (1.81923091 41.72740779)
Gironès,Girona,170792,Sí,41.98381651,2.82325239,Espai cultural,Museu del cinema de Girona (zona vestíbul i sales d'exposicions temporals),"C. de la Séquia, 1, 17001 Girona",972412777,info@museudelcinema.cat,dl. a ds.10:00 - 19:00 | dg. 10:00 - 14:00,Sí,Sí,No,Sí,Sí,5,POINT (2.82325239 41.98381651)
Barcelonès,Barcelona,080193,Sí,41.43060441,2.14392148,Parc densament arbrat,Jardins de Pedro Muñoz Seca,"Arquitectura, 1",NA,NA,Indefinit,Sí,Sí,NA,No,Sí,,POINT (2.14392148 41.43060441)
Ribera d'Ebre,Móra d'Ebre,430939,Sí,41.08864814,0.64457194,Altres,Estació d'autobusos,"Camí de les Hortes, 8",977401291,ajuntament@moradebre.cat,06:00 - 21:00,Sí,Sí,Sí,Sí,Sí,36,POINT (0.64457194 41.08864814)
Tarragonès,"Pallaresos, els",431009,Sí,41.17418029,1.27258125,Altres,Ajuntament,"Av. Catalunya, 8",977610600,ajuntament@elspallaresos.cat,dl. a dv. 09:00  - 14:00 | dt. 16:30 - 18:30,Sí,Sí,Sí,Sí,Sí,,POINT (1.27258125 41.17418029)
Vallès Occidental,Terrassa,08222,Sí,41.5706352,2.0022225,Equipament cívic,Casal Cívic i Comunitari Terrassa - Casal,"C. de Wagner, 2",937854416,cc.terrassacentre@gencat.cat,dl. a dv. 09:00 - 21:00 | ds. 10:00 - 21:00,Sí,Sí,Sí,Sí,Sí,306,POINT (2.0022225 41.5706352)
Barcelonès,Barcelona,08033,Sí,41.4496433,2.1914032,Equipament cívic,Casal Cívic i Comunitari Barcelona - Trinitat Vella,"C. de la Madriguera, 38-42, baixos",933454561,cc.barcelonatrinitatvella@gencat.cat,dl. a dv. 09:00 - 21:00 | ds. 10:00 - 21:00,Sí,Sí,Sí,Sí,Sí,158,POINT (2.1914032 41.4496433)
