Dia,Codi estació,Estació,Codi variable,Descripció variable,Cabal canal (m³/s)
11/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
11/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.70
10/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.08
10/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.78
09/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.08
09/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.79
08/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.06
08/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.74
07/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.06
07/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.73
06/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.09
06/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.76
05/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.09
05/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.76
04/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
04/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.74
03/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.05
03/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.75
02/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.08
02/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.74
01/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.06
01/04/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.76
31/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.05
31/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.80
30/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
30/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.67
29/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
29/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.70
28/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
28/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.71
27/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
27/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.70
26/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
26/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.70
25/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
25/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.70
24/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.03
24/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.70
23/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
23/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.71
22/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
22/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.71
21/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
21/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.71
20/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
20/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.70
19/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
19/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.70
18/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.04
18/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.73
17/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.04
17/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.73
16/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.05
16/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.72
15/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.05
15/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.71
14/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.03
14/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.72
13/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.03
13/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.72
12/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.08
12/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.68
11/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.04
11/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.72
10/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
10/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.72
09/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.04
09/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.73
08/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.04
08/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.74
07/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.04
07/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.73
06/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
06/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.77
05/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.22
05/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.10
04/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.59
04/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.50
03/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.58
03/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.42
02/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.57
02/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.33
01/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.57
01/03/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.36
28/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.48
28/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.36
27/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.11
27/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.94
26/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
26/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.83
25/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
25/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.84
24/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
24/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.84
23/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
23/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.49
22/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.50
22/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.25
21/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.56
21/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.35
20/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.56
20/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.36
19/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.56
19/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.37
18/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.50
18/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.32
17/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.56
17/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.26
16/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.57
16/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.21
15/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.56
15/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.21
14/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.56
14/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.21
13/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.43
13/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.06
12/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.56
12/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.20
11/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.37
11/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.04
10/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
10/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.71
09/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
09/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.71
08/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
08/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.74
07/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.20
07/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.00
06/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.38
06/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.18
05/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.15
05/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.94
04/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
04/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.80
03/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
03/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.10
02/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
02/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.76
01/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
01/02/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.94
31/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
31/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.79
30/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
30/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.89
29/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
29/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.85
28/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
28/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.50
27/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.15
27/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.85
26/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.69
26/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.17
25/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.70
25/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.18
24/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.75
24/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.35
23/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.91
23/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.73
22/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.90
22/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.64
21/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.96
21/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.73
20/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.95
20/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.74
19/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.95
19/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.69
18/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.71
18/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.51
17/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.35
17/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.27
16/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.69
16/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.54
15/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.70
15/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.54
14/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.96
14/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.65
13/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,1.12
13/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.65
12/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.96
12/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.57
11/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,1.02
11/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.59
10/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,1.08
10/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.58
09/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.74
09/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.49
08/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.47
08/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.25
07/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.53
07/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.02
06/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,1.10
06/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.41
05/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.61
05/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.43
04/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.71
04/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.42
03/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.39
03/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.96
02/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.48
02/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.43
01/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.44
01/01/2025,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.23
31/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.56
31/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.38
30/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.55
30/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.28
29/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.55
29/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.28
28/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.46
28/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.29
27/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.17
27/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.72
26/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
26/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.80
25/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
25/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.82
24/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
24/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.51
23/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.40
23/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.89
22/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.69
22/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.26
21/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.70
21/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.38
20/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.63
20/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,1.26
19/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.14
19/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.36
18/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
18/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.00
17/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
17/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.00
16/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
16/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4392153,Cabal sortida ERA a riu,0.00
15/12/2024,F030397,ERA - Llobregat - el Prat de Llobregat,4493804,Cabal sortida bombament Can Solé,0.00
